name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s),busy(s),started(s)
fannkuchredux,racket,2,10,916,1.058,70248,0,1% 57% 0% 0%,1.832,1.086,0.000
fannkuchredux,racket,2,11,916,8.782,73332,0,100% 0% 0% 0%,8.783,8.879,0.000
fannkuchredux,racket,2,12,916,114.158,74496,0,98% 0% 1% 0%,114.164,114.507,0.000
fannkuchredux,racket,2,12,916,113.004,74852,0,100% 0% 0% 0%,113.010,113.349,0.000
fannkuchredux,racket,2,12,916,113.779,74608,0,100% 0% 0% 0%,113.784,114.240,0.000
fannkuchredux,racket,2,12,916,113.483,74836,0,0% 0% 0% 100%,113.490,113.944,0.000
fannkuchredux,racket,2,12,916,114.187,74840,0,100% 0% 0% 0%,114.192,114.534,0.000
fannkuchredux,racket,2,12,916,114.207,74708,0,0% 100% 1% 0%,114.212,116.268,0.000
fannkuchredux,csharpaot,2,10,584,0.241,19680,0,1% 1% 44% 1%,0.543,0.271,0.000
fannkuchredux,csharpaot,2,11,584,2.281,19680,0,99% 0% 0% 0%,2.272,2.302,0.000
fannkuchredux,csharpaot,2,12,584,31.038,19680,0,100% 0% 0% 0%,31.038,31.318,0.000
fannkuchredux,csharpaot,2,12,584,31.046,19680,0,30% 69% 0% 0%,31.039,31.350,0.000
fannkuchredux,csharpaot,2,12,584,31.035,19680,0,27% 0% 0% 73%,31.029,31.246,0.000
fannkuchredux,csharpaot,2,12,584,31.032,19680,0,76% 23% 0% 0%,31.026,31.182,0.000
fannkuchredux,csharpaot,2,12,584,31.049,19680,0,20% 79% 0% 0%,31.044,31.354,0.000
fannkuchredux,csharpaot,2,12,584,31.030,19680,0,0% 100% 0% 0%,31.024,31.241,0.000
fannkuchredux,fsharpcore,1,10,558,0.863,48840,0,9% 31% 1% 2%,2.012,0.885,0.000
fannkuchredux,fsharpcore,1,11,558,7.451,48964,0,2% 2% 33% 68%,7.047,7.498,0.000
fannkuchredux,fsharpcore,1,12,558,99.959,49604,0,2% 42% 32% 27%,94.578,99.780,0.000
fannkuchredux,fsharpcore,1,12,558,100.193,49644,0,2% 47% 36% 19%,94.605,100.375,0.000
fannkuchredux,fsharpcore,1,12,558,99.261,49468,0,2% 63% 5% 33%,93.806,98.778,0.000
fannkuchredux,fsharpcore,1,12,558,99.362,49672,0,2% 80% 4% 17%,93.920,98.710,0.000
fannkuchredux,fsharpcore,1,12,558,99.250,49764,0,2% 6% 60% 37%,93.672,98.918,0.000
fannkuchredux,fsharpcore,1,12,558,101.581,49676,0,2% 88% 6% 7%,95.977,101.831,0.000
fannkuchredux,gcc,1,10,514,0.273,19684,0,0% 100% 0% 0%,0.274,0.274,0.000
fannkuchredux,gcc,1,11,514,3.245,19684,0,0% 100% 1% 0%,3.246,3.314,0.000
fannkuchredux,gcc,1,12,514,42.308,19684,0,100% 0% 0% 0%,42.311,42.396,0.000
fannkuchredux,gcc,1,12,514,42.370,19684,0,0% 0% 100% 0%,42.372,42.711,0.000
fannkuchredux,gcc,1,12,514,42.713,19684,0,80% 0% 0% 19%,42.716,42.887,0.000
fannkuchredux,gcc,1,12,514,43.201,19684,0,100% 0% 0% 0%,43.205,43.465,0.000
fannkuchredux,gcc,1,12,514,42.388,19684,0,100% 0% 0% 0%,42.392,42.647,0.000
fannkuchredux,gcc,1,12,514,42.385,19684,0,100% 0% 0% 0%,42.389,42.559,0.000
fannkuchredux,rust,2,10,1198,0.224,19072,0,85% 87% 75% 85%,0.071,0.238,0.000
fannkuchredux,rust,2,11,1198,2.781,19072,0,98% 94% 100% 100%,0.714,2.806,0.000
fannkuchredux,rust,2,12,1198,36.902,19072,0,99% 95% 97% 98%,9.475,36.992,0.000
fannkuchredux,rust,2,12,1198,37.238,19072,0,98% 100% 99% 94%,9.504,37.303,0.000
fannkuchredux,rust,2,12,1198,37.151,19072,0,99% 99% 100% 94%,9.475,37.304,0.000
fannkuchredux,rust,2,12,1198,36.895,19072,0,99% 98% 100% 94%,9.422,36.998,0.000
fannkuchredux,rust,2,12,1198,37.289,19072,0,99% 99% 98% 94%,9.516,37.341,0.000
fannkuchredux,rust,2,12,1198,37.119,19072,0,99% 98% 94% 99%,9.480,37.182,0.000
fannkuchredux,csharpaot,9,10,1232,0.257,19680,0,23% 22% 26% 26%,0.268,0.266,0.000
fannkuchredux,csharpaot,9,11,1232,2.821,19680,0,94% 98% 97% 98%,0.730,2.842,0.000
fannkuchredux,csharpaot,9,12,1232,35.887,19680,0,99% 100% 99% 99%,9.013,36.023,0.000
fannkuchredux,csharpaot,9,12,1232,35.850,19680,0,99% 99% 100% 99%,8.996,35.940,0.000
fannkuchredux,csharpaot,9,12,1232,35.960,19680,0,99% 99% 99% 99%,9.060,36.167,0.000
fannkuchredux,csharpaot,9,12,1232,35.883,19680,0,99% 99% 100% 99%,8.994,35.948,0.000
fannkuchredux,csharpaot,9,12,1232,35.949,19680,0,99% 99% 99% 100%,9.041,36.128,0.000
fannkuchredux,csharpaot,9,12,1232,35.928,19680,0,99% 99% 99% 99%,9.017,36.032,0.000
fannkuchredux,openj9,3,10,1264,0.815,56056,0,11% 7% 16% 7%,1.950,0.830,0.000
fannkuchredux,openj9,3,11,1264,3.841,60684,0,7% 7% 1% 94%,3.595,3.954,0.000
fannkuchredux,openj9,3,12,1264,44.482,60460,0,0% 0% 99% 0%,44.144,44.629,0.000
fannkuchredux,openj9,3,12,1264,43.905,60696,0,99% 0% 0% 0%,43.608,44.262,0.000
fannkuchredux,openj9,3,12,1264,43.810,60780,0,0% 0% 0% 99%,43.475,44.040,0.000
fannkuchredux,openj9,3,12,1264,44.047,60468,0,0% 0% 99% 0%,43.707,44.406,0.000
fannkuchredux,openj9,3,12,1264,43.864,60828,0,99% 0% 0% 0%,43.520,44.173,0.000
fannkuchredux,openj9,3,12,1264,43.835,60752,0,99% 0% 0% 0%,43.495,44.017,0.000
fannkuchredux,swift,3,10,1103,0.230,19656,0,10% 14% 10% 12%,0.473,0.230,0.000
fannkuchredux,swift,3,11,1103,2.566,19656,0,98% 98% 98% 96%,0.653,2.563,0.000
fannkuchredux,swift,3,12,1103,34.015,19656,0,97% 99% 100% 98%,8.623,34.140,0.000
fannkuchredux,swift,3,12,1103,33.966,19656,0,98% 98% 100% 100%,8.573,33.991,0.000
fannkuchredux,swift,3,12,1103,34.085,19656,0,100% 98% 98% 99%,8.629,34.205,0.000
fannkuchredux,swift,3,12,1103,33.937,19656,0,98% 99% 98% 100%,8.571,34.019,0.000
fannkuchredux,swift,3,12,1103,33.998,19656,0,99% 99% 99% 100%,8.584,34.147,0.000
fannkuchredux,swift,3,12,1103,33.937,19656,0,100% 98% 98% 100%,8.566,33.991,0.000
fannkuchredux,racket,1,10,655,1.251,70412,0,61% 0% 0% 1%,2.048,1.286,0.000
fannkuchredux,racket,1,11,655,11.007,73204,0,100% 0% 0% 0%,11.008,11.173,0.000
fannkuchredux,racket,1,12,655,142.478,74620,0,0% 100% 0% 0%,142.485,143.055,0.000
fannkuchredux,python3,6,10,391,5.574,19652,0,0% 93% 0% 0%,5.986,5.621,0.000
fannkuchredux,python3,6,11,391,67.782,19652,0,0% 0% 100% 0%,67.785,67.988,0.000
fannkuchredux,python3,6,12,391,895.529,19652,0,100% 0% 0% 0%,895.571,898.257,0.000
fannkuchredux,clang,1,10,514,0.246,19684,0,0% 0% 0% 100%,0.246,0.246,0.000
fannkuchredux,clang,1,11,514,2.881,19684,0,0% 0% 0% 100%,2.882,2.911,0.000
fannkuchredux,clang,1,12,514,37.710,19684,0,98% 0% 1% 0%,37.715,37.903,0.000
fannkuchredux,clang,1,12,514,37.448,19684,0,100% 0% 0% 0%,37.452,37.602,0.000
fannkuchredux,clang,1,12,514,37.743,19684,0,100% 0% 0% 0%,37.747,38.011,0.000
fannkuchredux,clang,1,12,514,37.680,19684,0,0% 0% 0% 100%,37.681,37.945,0.000
fannkuchredux,clang,1,12,514,37.485,19684,0,100% 0% 0% 0%,37.489,37.676,0.000
fannkuchredux,clang,1,12,514,37.476,19684,0,0% 0% 0% 100%,37.477,37.777,0.000
fannkuchredux,toit,1,10,452,7.387,68608,0,0% 0% 0% 99%,7.405,7.516,0.000
fannkuchredux,toit,1,11,452,96.611,68864,0,97% 0% 0% 2%,96.602,96.795,0.000
fannkuchredux,toit,1,12,452,1267.313,68992,0,100% 0% 0% 0%,1267.172,1269.706,0.000
fannkuchredux,ocaml,2,10,478,0.298,19584,0,0% 0% 100% 3%,0.298,0.308,0.000
fannkuchredux,ocaml,2,11,478,3.568,19584,0,0% 0% 0% 100%,3.568,3.579,0.000
fannkuchredux,ocaml,2,12,478,47.520,19584,0,100% 0% 0% 0%,47.523,47.713,0.000
fannkuchredux,ocaml,2,12,478,47.513,19584,0,0% 0% 0% 100%,47.515,47.705,0.000
fannkuchredux,ocaml,2,12,478,47.523,19584,0,0% 38% 61% 0%,47.529,47.767,0.000
fannkuchredux,ocaml,2,12,478,47.517,19584,0,0% 0% 100% 0%,47.520,47.710,0.000
fannkuchredux,ocaml,2,12,478,47.522,19584,0,0% 0% 100% 0%,47.525,47.810,0.000
fannkuchredux,ocaml,2,12,478,47.523,19584,0,0% 0% 100% 0%,47.526,47.764,0.000
fannkuchredux,graalvm,3,10,1264,0.792,66780,0,2% 18% 8% 4%,2.750,0.916,0.000
fannkuchredux,graalvm,3,11,1264,2.836,105228,0,9% 1% 1% 95%,2.643,2.860,0.000
fannkuchredux,graalvm,3,12,1264,31.583,103724,0,0% 0% 0% 99%,31.294,31.701,0.000
fannkuchredux,graalvm,3,12,1264,31.567,103884,0,99% 1% 0% 0%,31.295,31.702,0.000
fannkuchredux,graalvm,3,12,1264,31.533,103628,0,84% 0% 12% 3%,31.231,31.636,0.000
fannkuchredux,graalvm,3,12,1264,31.581,103492,0,86% 1% 14% 0%,31.290,31.947,0.000
fannkuchredux,graalvm,3,12,1264,31.506,103620,0,0% 0% 3% 96%,31.218,31.592,0.000
fannkuchredux,graalvm,3,12,1264,31.967,102992,0,89% 1% 7% 3%,31.668,32.270,0.000
fannkuchredux,julia,3,10,896,1.847,257272,0,3% 15% 5% 4%,6.410,1.852,0.000
fannkuchredux,julia,3,11,896,3.302,260560,0,64% 85% 83% 64%,1.110,3.313,0.000
fannkuchredux,julia,3,12,896,30.596,258288,0,93% 95% 95% 95%,8.092,30.694,0.000
fannkuchredux,julia,3,12,896,30.583,258220,0,93% 94% 97% 92%,8.097,30.599,0.000
fannkuchredux,julia,3,12,896,30.586,258224,0,96% 94% 95% 95%,8.100,30.827,0.000
fannkuchredux,julia,3,12,896,30.589,258348,0,94% 94% 94% 95%,8.095,30.672,0.000
fannkuchredux,julia,3,12,896,30.600,258028,0,94% 94% 94% 96%,8.086,30.688,0.000
fannkuchredux,julia,3,12,896,30.559,258188,0,94% 94% 94% 96%,8.074,30.634,0.000
fannkuchredux,lua,1,10,469,3.738,19652,0,0% 0% 96% 0%,3.895,3.797,0.000
fannkuchredux,lua,1,11,469,44.539,19652,0,90% 0% 10% 0%,44.544,44.722,0.000
fannkuchredux,lua,1,12,469,603.363,19652,0,100% 0% 0% 0%,603.404,605.214,0.000
fannkuchredux,dartjit,2,10,510,1.522,151632,0,23% 9% 4% 9%,3.357,1.561,0.000
fannkuchredux,dartjit,2,11,510,4.917,151012,0,2% 92% 6% 6%,4.617,4.968,0.000
fannkuchredux,dartjit,2,12,510,59.083,151516,0,0% 0% 0% 99%,58.775,59.422,0.000
fannkuchredux,dartjit,2,12,510,59.029,151284,0,0% 99% 0% 0%,58.720,59.718,0.000
fannkuchredux,dartjit,2,12,510,58.966,151180,0,0% 99% 0% 0%,58.664,59.192,0.000
fannkuchredux,dartjit,2,12,510,59.054,151088,0,0% 0% 99% 0%,58.753,59.341,0.000
fannkuchredux,dartjit,2,12,510,59.090,150828,0,17% 82% 0% 0%,58.787,59.551,0.000
fannkuchredux,dartjit,2,12,510,59.066,151356,0,4% 95% 0% 0%,58.767,59.414,0.000
fannkuchredux,sbcl,4,10,1531,0.297,20992,0,39% 22% 22% 22%,0.274,0.290,0.000
fannkuchredux,sbcl,4,11,1531,2.954,21376,0,97% 97% 96% 93%,0.772,2.969,0.000
fannkuchredux,sbcl,4,12,1531,38.269,21760,0,99% 99% 99% 96%,9.714,38.378,0.000
fannkuchredux,sbcl,4,12,1531,38.897,21760,0,100% 94% 91% 94%,10.253,39.045,0.000
fannkuchredux,sbcl,4,12,1531,38.250,22016,0,97% 99% 99% 97%,9.733,38.338,0.000
fannkuchredux,sbcl,4,12,1531,38.283,32128,0,98% 99% 96% 99%,9.753,38.445,0.000
fannkuchredux,sbcl,4,12,1531,38.254,32128,0,98% 96% 99% 99%,9.723,38.366,0.000
fannkuchredux,sbcl,4,12,1531,38.275,32128,0,99% 97% 99% 98%,9.719,38.429,0.000
fannkuchredux,sbcl,3,10,833,0.296,20608,0,0% 4% 65% 0%,0.434,0.302,0.000
fannkuchredux,sbcl,3,11,833,2.830,21120,0,100% 0% 0% 0%,2.831,2.854,0.000
fannkuchredux,sbcl,3,12,833,36.548,21888,0,0% 0% 0% 100%,36.551,36.734,0.000
fannkuchredux,sbcl,3,12,833,36.562,32384,0,100% 0% 0% 0%,36.564,36.857,0.000
fannkuchredux,sbcl,3,12,833,36.553,32384,0,0% 0% 0% 100%,36.556,36.812,0.000
fannkuchredux,sbcl,3,12,833,36.557,32384,0,0% 0% 100% 0%,36.559,36.742,0.000
fannkuchredux,sbcl,3,12,833,36.551,32384,0,0% 0% 0% 100%,36.553,36.772,0.000
fannkuchredux,sbcl,3,12,833,36.530,32256,0,79% 20% 0% 0%,36.535,36.754,0.000
fannkuchredux,gpp,6,10,1535,0.112,19712,0,20% 26% 21% 21%,0.143,0.128,0.000
fannkuchredux,gpp,6,11,1535,1.001,19712,0,100% 100% 96% 100%,0.255,1.008,0.000
fannkuchredux,gpp,6,12,1535,12.924,19712,0,99% 100% 99% 97%,3.276,12.985,0.000
fannkuchredux,gpp,6,12,1535,12.927,19712,0,100% 98% 99% 99%,3.290,13.052,0.000
fannkuchredux,gpp,6,12,1535,12.918,19712,0,100% 99% 99% 97%,3.276,12.978,0.000
fannkuchredux,gpp,6,12,1535,12.916,19712,0,97% 99% 100% 100%,3.268,12.970,0.000
fannkuchredux,gpp,6,12,1535,12.908,19712,0,99% 99% 99% 97%,3.265,12.929,0.000
fannkuchredux,gpp,6,12,1535,12.908,19712,0,97% 100% 99% 99%,3.263,12.942,0.000
fannkuchredux,ghc,4,10,671,0.268,19804,0,0% 0% 2% 67%,0.396,0.277,0.000
fannkuchredux,ghc,4,11,671,3.047,19804,0,0% 1% 100% 0%,3.028,3.076,0.000
fannkuchredux,ghc,4,12,671,40.594,19804,0,6% 55% 39% 0%,40.082,40.483,0.000
fannkuchredux,ghc,4,12,671,40.646,19804,0,7% 19% 60% 13%,40.130,40.531,0.000
fannkuchredux,ghc,4,12,671,40.642,19804,0,0% 0% 73% 26%,40.125,40.526,0.000
fannkuchredux,ghc,4,12,671,40.639,19804,0,0% 10% 89% 0%,40.121,40.362,0.000
fannkuchredux,ghc,4,12,671,40.595,19804,0,0% 0% 0% 100%,40.080,40.320,0.000
fannkuchredux,ghc,4,12,671,40.585,19804,0,83% 0% 0% 16%,40.065,40.385,0.000
fannkuchredux,java,3,10,1264,0.486,42268,0,18% 0% 4% 8%,1.601,0.499,0.000
fannkuchredux,java,3,11,1264,3.113,42424,0,97% 4% 1% 1%,3.039,3.161,0.000
fannkuchredux,java,3,12,1264,40.906,42196,0,99% 0% 0% 0%,40.809,41.054,0.000
fannkuchredux,java,3,12,1264,40.915,42604,0,99% 0% 0% 0%,40.817,41.143,0.000
fannkuchredux,java,3,12,1264,40.928,42920,0,0% 99% 0% 0%,40.832,41.159,0.000
fannkuchredux,java,3,12,1264,40.914,42344,0,0% 99% 0% 0%,40.816,41.143,0.000
fannkuchredux,java,3,12,1264,41.111,42176,0,0% 99% 0% 0%,41.013,41.341,0.000
fannkuchredux,java,3,12,1264,40.902,42776,0,0% 99% 0% 0%,40.817,41.143,0.000
fannkuchredux,clang,6,10,1582,0.064,19940,0,100% 100% 100% 66%,0.019,0.071,0.000
fannkuchredux,clang,6,11,1582,0.702,19940,0,100% 94% 94% 94%,0.185,0.710,0.000
fannkuchredux,clang,6,12,1582,8.890,19940,0,97% 99% 100% 99%,2.252,8.942,0.000
fannkuchredux,clang,6,12,1582,8.890,19684,0,99% 98% 99% 99%,2.253,8.944,0.000
fannkuchredux,clang,6,12,1582,8.891,19684,0,98% 100% 98% 96%,2.275,8.949,0.000
fannkuchredux,clang,6,12,1582,8.886,19684,0,98% 99% 99% 96%,2.270,8.940,0.000
fannkuchredux,clang,6,12,1582,8.887,19684,0,98% 100% 99% 99%,2.250,8.917,0.000
fannkuchredux,clang,6,12,1582,8.885,19684,0,98% 99% 100% 99%,2.257,8.969,0.000
fannkuchredux,clang,3,10,574,0.217,19684,0,100% 0% 0% 0%,0.218,0.218,0.000
fannkuchredux,clang,3,11,574,2.577,19684,0,0% 0% 0% 100%,2.578,2.619,0.000
fannkuchredux,clang,3,12,574,34.079,19684,0,100% 0% 0% 0%,34.084,34.390,0.000
fannkuchredux,clang,3,12,574,34.042,19684,0,0% 0% 0% 100%,34.044,34.248,0.000
fannkuchredux,clang,3,12,574,34.047,19684,0,100% 0% 0% 0%,34.052,34.256,0.000
fannkuchredux,clang,3,12,574,34.204,19684,0,100% 0% 0% 0%,34.209,34.448,0.000
fannkuchredux,clang,3,12,574,34.125,19684,0,100% 0% 0% 0%,34.129,34.368,0.000
fannkuchredux,clang,3,12,574,34.066,19684,0,0% 100% 0% 0%,34.069,34.410,0.000
fannkuchredux,csharpcore,2,10,584,0.305,30736,0,1% 0% 0% 43%,0.712,0.317,0.000
fannkuchredux,csharpcore,2,11,584,2.217,30684,0,99% 0% 0% 0%,2.232,2.273,0.000
fannkuchredux,csharpcore,2,12,584,29.600,30836,0,84% 0% 14% 1%,29.617,29.942,0.000
fannkuchredux,csharpcore,2,12,584,29.595,30720,0,96% 0% 3% 0%,29.609,29.905,0.000
fannkuchredux,csharpcore,2,12,584,29.578,30696,0,99% 0% 0% 0%,29.589,29.855,0.000
fannkuchredux,csharpcore,2,12,584,29.593,30684,0,0% 88% 0% 11%,29.603,29.869,0.000
fannkuchredux,csharpcore,2,12,584,29.583,30688,0,0% 89% 10% 0%,29.598,29.805,0.000
fannkuchredux,csharpcore,2,12,584,29.592,30828,0,0% 100% 0% 0%,29.602,29.898,0.000
fannkuchredux,rust,6,10,1260,0.102,19072,0,60% 66% 60% 66%,0.039,0.098,0.000
fannkuchredux,rust,6,11,1260,1.186,19072,0,96% 100% 96% 100%,0.303,1.192,0.000
fannkuchredux,rust,6,12,1260,15.467,19072,0,97% 98% 100% 100%,3.925,15.559,0.000
fannkuchredux,rust,6,12,1260,15.467,19072,0,99% 98% 100% 97%,3.940,15.551,0.000
fannkuchredux,rust,6,12,1260,15.363,19072,0,97% 98% 97% 100%,3.915,15.409,0.000
fannkuchredux,rust,6,12,1260,15.415,19072,0,96% 97% 96% 99%,3.981,15.539,0.000
fannkuchredux,rust,6,12,1260,15.372,19072,0,97% 100% 97% 96%,3.959,15.468,0.000
fannkuchredux,rust,6,12,1260,15.365,19072,0,97% 98% 97% 100%,3.919,15.423,0.000
fannkuchredux,gpp,1,10,1065,0.277,19712,0,46% 50% 50% 42%,0.143,0.270,0.000
fannkuchredux,gpp,1,11,1065,3.246,19712,0,92% 98% 97% 95%,0.846,3.255,0.000
fannkuchredux,gpp,1,12,1065,42.753,19712,0,100% 96% 99% 98%,10.872,42.910,0.000
fannkuchredux,gpp,1,12,1065,42.741,19712,0,100% 95% 99% 98%,10.928,42.925,0.000
fannkuchredux,gpp,1,12,1065,42.762,19712,0,99% 95% 100% 99%,10.876,42.928,0.000
fannkuchredux,gpp,1,12,1065,42.730,19712,0,99% 99% 98% 96%,10.871,42.852,0.000
fannkuchredux,gpp,1,12,1065,42.789,19712,0,100% 99% 99% 95%,10.904,43.027,0.000
fannkuchredux,gpp,1,12,1065,42.734,19712,0,99% 95% 98% 100%,10.874,42.867,0.000
fannkuchredux,javaxint,2,10,520,3.904,34976,0,30% 47% 0% 1%,5.015,3.992,0.000
fannkuchredux,javaxint,2,11,520,46.371,35168,0,81% 18% 0% 0%,46.358,46.590,0.000
fannkuchredux,javaxint,2,12,520,627.560,35140,0,99% 0% 0% 0%,627.339,629.221,0.000
fannkuchredux,csharpaot,3,10,1117,0.304,19680,0,27% 27% 31% 24%,0.293,0.323,0.000
fannkuchredux,csharpaot,3,11,1117,3.350,19680,0,98% 100% 96% 100%,0.852,3.369,0.000
fannkuchredux,csharpaot,3,12,1117,45.250,19680,0,100% 98% 98% 99%,11.443,45.395,0.000
fannkuchredux,csharpaot,3,12,1117,45.291,19680,0,98% 99% 100% 98%,11.445,45.437,0.000
fannkuchredux,csharpaot,3,12,1117,45.286,19680,0,98% 99% 98% 100%,11.474,45.482,0.000
fannkuchredux,csharpaot,3,12,1117,45.242,19680,0,100% 99% 98% 99%,11.441,45.454,0.000
fannkuchredux,csharpaot,3,12,1117,45.204,19680,0,99% 98% 98% 100%,11.468,45.355,0.000
fannkuchredux,csharpaot,3,12,1117,45.291,19680,0,100% 99% 97% 98%,11.506,45.531,0.000
fannkuchredux,graalvm,1,10,1289,3.715,104052,0,33% 32% 31% 31%,2.953,3.803,0.000
fannkuchredux,graalvm,1,11,1289,3.466,105932,0,88% 91% 96% 89%,0.951,3.487,0.000
fannkuchredux,graalvm,1,12,1289,35.162,103364,0,99% 98% 97% 98%,8.959,35.342,0.000
fannkuchredux,graalvm,1,12,1289,34.473,103236,0,97% 97% 99% 99%,8.768,34.580,0.000
fannkuchredux,graalvm,1,12,1289,34.718,104004,0,99% 99% 98% 97%,8.821,34.790,0.000
fannkuchredux,graalvm,1,12,1289,34.474,103364,0,99% 97% 99% 98%,8.798,34.637,0.000
fannkuchredux,graalvm,1,12,1289,34.284,103252,0,97% 98% 99% 99%,8.706,34.373,0.000
fannkuchredux,graalvm,1,12,1289,35.068,103212,0,99% 98% 99% 98%,8.915,35.223,0.000
fannkuchredux,php,1,10,488,1.404,19656,0,0% 0% 0% 67%,2.083,1.408,0.000
fannkuchredux,php,1,11,488,16.678,19656,0,0% 0% 0% 100%,16.679,16.763,0.000
fannkuchredux,php,1,12,488,226.436,19656,0,0% 0% 0% 100%,226.444,227.124,0.000
fannkuchredux,gcc,2,10,1563,0.258,19684,0,85% 100% 87% 100%,0.069,0.258,0.000
fannkuchredux,gcc,2,11,1563,3.343,19684,0,98% 97% 88% 95%,0.883,3.360,0.000
fannkuchredux,gcc,2,12,1563,42.697,19684,0,100% 99% 95% 97%,10.941,42.988,0.000
fannkuchredux,gcc,2,12,1563,42.662,19684,0,100% 99% 98% 94%,10.930,42.867,0.000
fannkuchredux,gcc,2,12,1563,42.560,19684,0,99% 97% 93% 99%,10.980,42.778,0.000
fannkuchredux,gcc,2,12,1563,42.640,19684,0,98% 99% 93% 100%,10.946,42.919,0.000
fannkuchredux,gcc,2,12,1563,42.555,19684,0,99% 98% 94% 100%,10.912,42.743,0.000
fannkuchredux,gcc,2,12,1563,42.524,19684,0,99% 94% 98% 100%,10.853,42.610,0.000
fannkuchredux,micropython,6,10,391,9.622,19076,0,0% 97% 0% 0%,9.857,9.660,0.000
fannkuchredux,micropython,6,11,391,118.663,19076,0,0% 100% 0% 0%,118.670,119.026,0.000
fannkuchredux,micropython,6,12,391,1611.045,19076,0,0% 0% 100% 0%,1611.130,1615.964,0.000
fannkuchredux,dartexe,5,10,1227,0.318,19656,0,50% 52% 43% 38%,0.174,0.322,0.000
fannkuchredux,dartexe,5,11,1227,3.508,19656,0,94% 95% 92% 96%,0.931,3.530,0.000
fannkuchredux,dartexe,5,12,1227,48.064,19656,0,99% 99% 99% 99%,12.115,48.156,0.000
fannkuchredux,dartexe,5,12,1227,48.112,19656,0,99% 99% 99% 99%,12.100,48.220,0.000
fannkuchredux,dartexe,5,12,1227,48.107,19656,0,98% 99% 99% 99%,12.174,48.329,0.000
fannkuchredux,dartexe,5,12,1227,48.105,19656,0,99% 99% 99% 99%,12.133,48.300,0.000
fannkuchredux,dartexe,5,12,1227,48.081,19656,0,99% 99% 99% 99%,12.116,48.210,0.000
fannkuchredux,dartexe,5,12,1227,48.078,19656,0,99% 99% 99% 99%,12.109,48.181,0.000
fannkuchredux,ocaml,4,10,1018,0.008,19572,0,75% 100% 100% 100%,0.063,0.237,0.000
fannkuchredux,ocaml,4,11,1018,0.006,19572,0,98% 100% 98% 100%,0.671,2.663,0.000
fannkuchredux,ocaml,4,12,1018,0.006,19572,0,100% 99% 100% 99%,8.966,35.844,0.000
fannkuchredux,ocaml,4,12,1018,0.006,19572,0,99% 99% 99% 99%,8.971,35.793,0.000
fannkuchredux,ocaml,4,12,1018,0.006,19572,0,99% 100% 99% 99%,8.936,35.710,0.000
fannkuchredux,ocaml,4,12,1018,0.007,19572,0,99% 99% 100% 99%,8.957,35.783,0.000
fannkuchredux,ocaml,4,12,1018,0.007,19572,0,99% 99% 99% 100%,8.929,35.690,0.000
fannkuchredux,ocaml,4,12,1018,0.007,19572,0,99% 99% 100% 99%,8.984,35.791,0.000
fasta,gpp,2,250000,1129,0.039,19712,0,0% 0% 33% 8%,0.116,0.048,0.000
fasta,gpp,2,2500000,1129,0.200,19712,0,95% 5% 0% 0%,0.201,0.202,0.000
fasta,gpp,2,25000000,1129,1.964,19712,0,1% 0% 100% 2%,1.965,2.034,0.000
fasta,gpp,2,25000000,1129,1.802,19712,0,1% 0% 100% 1%,1.803,1.843,0.000
fasta,gpp,2,25000000,1129,1.801,19712,0,1% 0% 100% 0%,1.802,1.844,0.000
fasta,gpp,2,25000000,1129,1.804,19712,0,0% 0% 100% 1%,1.805,1.846,0.000
fasta,gpp,2,25000000,1129,1.800,19712,0,100% 1% 1% 1%,1.802,1.872,0.000
fasta,gpp,2,25000000,1129,1.798,19712,0,100% 0% 0% 1%,1.800,1.830,0.000
fasta,racket,3,250000,1291,0.507,76064,0,0% 39% 1% 0%,1.273,0.532,0.000
fasta,racket,3,2500000,1291,1.056,76056,0,100% 1% 1% 2%,1.057,1.118,0.000
fasta,racket,3,25000000,1291,8.511,76320,0,0% 0% 0% 100%,8.513,8.590,0.000
fasta,racket,3,25000000,1291,8.200,76564,0,99% 0% 1% 0%,8.202,8.358,0.000
fasta,racket,3,25000000,1291,8.206,76288,0,0% 0% 0% 99%,8.207,8.257,0.000
fasta,racket,3,25000000,1291,8.230,76544,0,100% 0% 0% 0%,8.232,8.298,0.000
fasta,racket,3,25000000,1291,8.209,76428,0,0% 0% 100% 0%,8.209,8.226,0.000
fasta,racket,3,25000000,1291,8.218,76424,0,1% 0% 1% 100%,8.221,8.443,0.000
fasta,python3,5,250000,1951,0.852,19652,0,14% 16% 15% 13%,1.401,0.847,0.000
fasta,python3,5,2500000,1951,5.801,92404,0,50% 40% 59% 46%,2.970,5.860,0.000
fasta,python3,5,25000000,1951,55.719,827220,0,48% 51% 36% 63%,28.126,56.027,0.000
fasta,python3,5,25000000,1951,55.426,827208,0,69% 38% 45% 44%,28.189,55.731,0.000
fasta,python3,5,25000000,1951,58.284,827088,0,71% 45% 44% 44%,28.417,58.597,0.000
fasta,python3,5,25000000,1951,55.782,827092,0,51% 34% 77% 35%,28.311,56.085,0.000
fasta,python3,5,25000000,1951,55.632,827076,0,70% 35% 56% 35%,28.157,55.919,0.000
fasta,python3,5,25000000,1951,55.834,827068,0,94% 54% 26% 20%,28.404,56.013,0.000
fasta,julia,7,250000,1189,2.244,277376,0,17% 6% 6% 5%,6.557,2.334,0.000
